"행정구역별","종류별","항목","단위","2017. 06 월",
"전국","출생","사건","","28900",
"전국","사망","사건","","22000",
"전국","혼인","사건","","22300",
"전국","이혼","사건","","9000",
"서울특별시","출생","사건","","5400",
"서울특별시","사망","사건","","3400",
"서울특별시","혼인","사건","","4600",
"서울특별시","이혼","사건","","1500",
"부산광역시","출생","사건","","1800",
"부산광역시","사망","사건","","1600",
"부산광역시","혼인","사건","","1300",
"부산광역시","이혼","사건","","500",
"대구광역시","출생","사건","","1300",
"대구광역시","사망","사건","","1100",
"대구광역시","혼인","사건","","1000",
"대구광역시","이혼","사건","","400",
"인천광역시","출생","사건","","1700",
"인천광역시","사망","사건","","1100",
"인천광역시","혼인","사건","","1200",
"인천광역시","이혼","사건","","600",
"광주광역시","출생","사건","","800",
"광주광역시","사망","사건","","600",
"광주광역시","혼인","사건","","600",
"광주광역시","이혼","사건","","200",
"대전광역시","출생","사건","","900",
"대전광역시","사망","사건","","500",
"대전광역시","혼인","사건","","700",
"대전광역시","이혼","사건","","300",
"울산광역시","출생","사건","","700",
"울산광역시","사망","사건","","400",
"울산광역시","혼인","사건","","600",
"울산광역시","이혼","사건","","200",
"세종특별자치시","출생","사건","","300",
"세종특별자치시","사망","사건","","100",
"세종특별자치시","혼인","사건","","200",
"세종특별자치시","이혼","사건","","...",
"경기도","출생","사건","","7500",
"경기도","사망","사건","","4400",
"경기도","혼인","사건","","5600",
"경기도","이혼","사건","","2300",
"강원도","출생","사건","","700",
"강원도","사망","사건","","900",
"강원도","혼인","사건","","600",
"강원도","이혼","사건","","200",
"충청북도","출생","사건","","900",
"충청북도","사망","사건","","800",
"충청북도","혼인","사건","","700",
"충청북도","이혼","사건","","300",
"충청남도","출생","사건","","1200",
"충청남도","사망","사건","","1200",
"충청남도","혼인","사건","","900",
"충청남도","이혼","사건","","400",
"전라북도","출생","사건","","900",
"전라북도","사망","사건","","1200",
"전라북도","혼인","사건","","600",
"전라북도","이혼","사건","","300",
"전라남도","출생","사건","","1000",
"전라남도","사망","사건","","1300",
"전라남도","혼인","사건","","700",
"전라남도","이혼","사건","","400",
"경상북도","출생","사건","","1400",
"경상북도","사망","사건","","1600",
"경상북도","혼인","사건","","1000",
"경상북도","이혼","사건","","400",
"경상남도","출생","사건","","1900",
"경상남도","사망","사건","","1600",
"경상남도","혼인","사건","","1400",
"경상남도","이혼","사건","","600",
"제주특별자치도","출생","사건","","400",
"제주특별자치도","사망","사건","","300",
"제주특별자치도","혼인","사건","","300",
"제주특별자치도","이혼","사건","","100",
