"어린이집 유형","시점","어린이집 설치현황",
"총계","1990 년","1919",
"총계","1991 년","3690",
"총계","1992 년","4513",
"총계","1993 년","5490",
"총계","1994 년","6975",
"총계","1995 년","9085",
"총계","1996 년","12098",
"총계","1997 년","15375",
"총계","1998 년","17605",
"총계","1999 년","18768",
"총계","2000 년","19276",
"총계","2001 년","20097",
"총계","2002 년","22147",
"총계","2003 년","24142",
"총계","2004 년","26903",
"총계","2005 년","28367",
"총계","2006 년","29233",
"총계","2007 년","30856",
"총계","2008 년","33499",
"총계","2009 년","35550",
"총계","2010 년","38021",
"총계","2011 년","39842",
"총계","2012 년","42527",
"총계","2013 년","43770",
"총계","2014 년","43742",
"총계","2015 년","42517",
"총계","2016 년","41084",
"국·공립","1990 년","360",
"국·공립","1991 년","503",
"국·공립","1992 년","720",
"국·공립","1993 년","837",
"국·공립","1994 년","983",
"국·공립","1995 년","1029",
"국·공립","1996 년","1079",
"국·공립","1997 년","1158",
"국·공립","1998 년","1258",
"국·공립","1999 년","1300",
"국·공립","2000 년","1295",
"국·공립","2001 년","1306",
"국·공립","2002 년","1330",
"국·공립","2003 년","1329",
"국·공립","2004 년","1349",
"국·공립","2005 년","1473",
"국·공립","2006 년","1643",
"국·공립","2007 년","1748",
"국·공립","2008 년","1826",
"국·공립","2009 년","1917",
"국·공립","2010 년","2034",
"국·공립","2011 년","2116",
"국·공립","2012 년","2203",
"국·공립","2013 년","2332",
"국·공립","2014 년","2489",
"국·공립","2015 년","2629",
"국·공립","2016 년","2859",
"사회복지법인","1992 년","425",
"사회복지법인","1993 년","624",
"사회복지법인","1994 년","807",
"사회복지법인","1995 년","928",
"사회복지법인","1996 년","1280",
"사회복지법인","1997 년","1634",
"사회복지법인","1998 년","1927",
"사회복지법인","1999 년","1965",
"사회복지법인","2000 년","2010",
"사회복지법인","2001 년","1991",
"사회복지법인","2002 년","1633",
"사회복지법인","2003 년","1632",
"사회복지법인","2004 년","1537",
"사회복지법인","2005 년","1495",
"사회복지법인","2006 년","1475",
"사회복지법인","2007 년","1460",
"사회복지법인","2008 년","1458",
"사회복지법인","2009 년","1470",
"사회복지법인","2010 년","1468",
"사회복지법인","2011 년","1462",
"사회복지법인","2012 년","1444",
"사회복지법인","2013 년","1439",
"사회복지법인","2014 년","1420",
"사회복지법인","2015 년","1414",
"사회복지법인","2016 년","1402",
"법인·단체 등","1990 년","39",
"법인·단체 등","1991 년","1237",
"법인·단체 등","1992 년","1383",
"법인·단체 등","1993 년","19",
"법인·단체 등","1994 년","17",
"법인·단체 등","1995 년","22",
"법인·단체 등","1996 년","69",
"법인·단체 등","1997 년","150",
"법인·단체 등","1998 년","227",
"법인·단체 등","1999 년","266",
"법인·단체 등","2000 년","324",
"법인·단체 등","2001 년","313",
"법인·단체 등","2002 년","575",
"법인·단체 등","2003 년","787",
"법인·단체 등","2004 년","966",
"법인·단체 등","2005 년","979",
"법인·단체 등","2006 년","1066",
"법인·단체 등","2007 년","1002",
"법인·단체 등","2008 년","969",
"법인·단체 등","2009 년","935",
"법인·단체 등","2010 년","888",
"법인·단체 등","2011 년","870",
"법인·단체 등","2012 년","869",
"법인·단체 등","2013 년","868",
"법인·단체 등","2014 년","852",
"법인·단체 등","2015 년","834",
"법인·단체 등","2016 년","804",
"법인 외","1992 년","14",
"민간","1990 년","1500",
"민간","1991 년","1931",
"민간","1992 년","1957",
"민간","1993 년","1776",
"민간","1994 년","2267",
"민간","1995 년","3175",
"민간","1996 년","4688",
"민간","1997 년","6388",
"민간","1998 년","7468",
"민간","1999 년","8327",
"민간","2000 년","8970",
"민간","2001 년","9490",
"민간","2002 년","10471",
"민간","2003 년","11225",
"민간","2004 년","12225",
"민간","2005 년","12769",
"민간","2006 년","12864",
"민간","2007 년","13081",
"민간","2008 년","13306",
"민간","2009 년","13433",
"민간","2010 년","13789",
"민간","2011 년","14134",
"민간","2012 년","14440",
"민간","2013 년","14751",
"민간","2014 년","14822",
"민간","2015 년","14626",
"민간","2016 년","14316",
"민간 개인","1992 년","1369",
"가정","1993 년","2205",
"가정","1994 년","2864",
"가정","1995 년","3844",
"가정","1996 년","4865",
"가정","1997 년","5887",
"가정","1998 년","6541",
"가정","1999 년","6703",
"가정","2000 년","6437",
"가정","2001 년","6801",
"가정","2002 년","7939",
"가정","2003 년","8933",
"가정","2004 년","10583",
"가정","2005 년","11346",
"가정","2006 년","11828",
"가정","2007 년","13184",
"가정","2008 년","15525",
"가정","2009 년","17359",
"가정","2010 년","19367",
"가정","2011 년","20722",
"가정","2012 년","22935",
"가정","2013 년","23632",
"가정","2014 년","23318",
"가정","2015 년","22074",
"가정","2016 년","20598",
"부모협동","1990 년","20",
"부모협동","1991 년","19",
"부모협동","1992 년","28",
"부모협동","2005 년","42",
"부모협동","2006 년","59",
"부모협동","2007 년","61",
"부모협동","2008 년","65",
"부모협동","2009 년","66",
"부모협동","2010 년","74",
"부모협동","2011 년","89",
"부모협동","2012 년","113",
"부모협동","2013 년","129",
"부모협동","2014 년","149",
"부모협동","2015 년","155",
"부모협동","2016 년","157",
"직장","1993 년","29",
"직장","1994 년","37",
"직장","1995 년","87",
"직장","1996 년","117",
"직장","1997 년","158",
"직장","1998 년","184",
"직장","1999 년","207",
"직장","2000 년","204",
"직장","2001 년","196",
"직장","2002 년","199",
"직장","2003 년","236",
"직장","2004 년","243",
"직장","2005 년","263",
"직장","2006 년","298",
"직장","2007 년","320",
"직장","2008 년","350",
"직장","2009 년","370",
"직장","2010 년","401",
"직장","2011 년","449",
"직장","2012 년","523",
"직장","2013 년","619",
"직장","2014 년","692",
"직장","2015 년","785",
"직장","2016 년","948",
