local,어린이집점수,병원점수,보건소점수,공원점수,돌봄네트워크 점수,총점
gpn,3.85954136,1.064701065,2.047502048,0.368550369,2.457002457,9.797297297
gy,3.080970315,1.595037661,0.027691626,0.629522966,0.332299513,5.665522079
kc,4.79200258,1.09642051,0.16123831,0.419219607,0.644953241,7.113834247
km,2.883769787,0.942935314,0.024428376,0.420168067,0.390854016,4.66215556
kj,4.572020027,0.539187368,0.19738109,0.062584248,0.288850376,5.660023108
gl,3.028198876,1.568960034,0.116611894,1.102512456,0.636064879,6.45234814
kp,2.43161256,0.72378925,0.042575838,0.755721128,0.319318787,4.273017563
ggp,4.006083479,1.458908354,0.208415479,1.092773052,0.225314031,6.991494395
nyj,3.338024103,0.687979601,0.069760169,0.334367708,0.240552308,4.67068389
ddc,4.340680588,0.676720804,0.096674401,0.812064965,0.773395205,6.699535963
bc,2.735662259,1.751408434,0.035358178,0.358296207,0.42429814,5.305023219
sn,2.724172618,2.754250075,0.036213661,0.535157429,0.321899205,6.371692989
sw,2.75724088,1.532380409,0.027836156,0.363261841,0.055672313,4.736391599
sh,3.615882664,1.519556025,0.070472163,0.466878083,0.616631431,6.289420366
as,3.453179352,1.037985251,0.058438848,0.53708084,0.333936274,5.420620565
ahns,4.587373933,0.581846393,0.630333592,0.998836307,0.581846393,7.380236618
ay,3.037790698,1.258588795,0.016516913,0.578091966,0.330338266,5.221326638
yjn,4.47903746,0.735962954,0.140577193,1.008848094,0.4961548,6.860580501
yp,3.662280702,0.986842105,1.425438596,0.921052632,1.315789474,8.311403509
yjn,3.536855718,0.905228154,1.07149455,0.332532791,1.108442638,6.954553852
yc,3.051454139,0.62639821,1.789709172,0.581655481,0.894854586,6.944071588
os,2.702960272,0.583715528,0.029781404,0.470546191,0.357376854,4.144380249
yi,1.557876414,1.418472203,0.085505321,0.425999725,0.122150459,3.610004123
ew,3.159526182,0.675301672,0.055352596,1.284180228,0.664231152,5.83859183
ejb,3.78178307,2.252977148,0.022989563,0.482780818,0.367833004,6.908363603
lc,4.069676613,0.796750508,0.437431651,0.249960944,0.468676769,6.022496485
pj,3.096657665,0.606740785,0.12976537,0.522568653,0.21043033,4.566162803
pt,3.151974288,1.493960585,0.208377481,0.780532599,0.211909303,5.846754256
pc,4.727632157,0.834675648,0.90789281,0.658954459,1.171474594,8.300629668
hn,3.87011563,1.096491228,0.04984051,0.28907496,0.398724083,5.704246411
hs,5.646188536,0.144388623,0.138454844,0.741722378,0.197792634,6.868547015
