tot,100 ,100 ,100 ,100 ,100 ,500 
gpn,108 ,99 ,164 ,84 ,182 ,635 
gy,89 ,118 ,89 ,102 ,91 ,489 
kc,129 ,100 ,94 ,88 ,104 ,515 
km,84 ,94 ,89 ,88 ,93 ,448 
kj,124 ,80 ,95 ,63 ,89 ,450 
gl,88 ,117 ,92 ,135 ,104 ,536 
kp,74 ,86 ,89 ,111 ,90 ,451 
ggp,111 ,113 ,96 ,134 ,86 ,540 
nyj,95 ,85 ,90 ,81 ,87 ,439 
ddc,119 ,85 ,92 ,115 ,109 ,519 
bc,81 ,124 ,89 ,83 ,94 ,472 
sn,81 ,160 ,89 ,96 ,90 ,516 
sw,82 ,116 ,89 ,83 ,79 ,449 
sh,102 ,115 ,90 ,91 ,103 ,502 
as,98 ,98 ,90 ,96 ,91 ,472 
ahns,125 ,81 ,111 ,128 ,101 ,546 
ay,88 ,106 ,89 ,99 ,91 ,472 
yjn,122 ,87 ,93 ,128 ,98 ,528 
yp,103 ,96 ,141 ,122 ,133 ,595 
yjn,100 ,93 ,127 ,81 ,124 ,526 
yc,88 ,83 ,154 ,99 ,115 ,538 
os,80 ,81 ,89 ,91 ,92 ,433 
yi,53 ,112 ,91 ,88 ,82 ,426 
ew,91 ,85 ,90 ,147 ,105 ,518 
ejb,106 ,142 ,89 ,92 ,92 ,520 
lc,112 ,89 ,104 ,76 ,97 ,478 
pj,90 ,82 ,93 ,94 ,85 ,444 
pt,91 ,114 ,96 ,112 ,85 ,499 
pc,128 ,90 ,121 ,104 ,126 ,570 
hn,108 ,100 ,90 ,78 ,94 ,470 
