,어린이집점수,병원점수,보건소점수,공원점수,돌봄네트워크 점수,총점
tot,354,110,33,60,55,612
gpn,386,106,205,37,246,980
gy,308,160,3,63,33,567
kc,479,110,16,42,64,711
km,288,94,2,42,39,466
kj,457,54,20,6,29,566
gl,303,157,12,110,64,645
kp,243,72,4,76,32,427
ggp,401,146,21,109,23,699
nyj,334,69,7,33,24,467
ddc,434,68,10,81,77,670
bc,274,175,4,36,42,531
sn,272,275,4,54,32,637
sw,276,153,3,36,6,474
sh,362,152,7,47,62,629
as,345,104,6,54,33,542
ahns,459,58,63,100,58,738
ay,304,126,2,58,33,522
yjn,448,74,14,101,50,686
yp,366,99,143,92,132,831
yjn,354,91,107,33,111,695
yc,305,63,179,58,89,694
os,270,58,3,47,36,414
yi,156,142,9,43,12,361
ew,316,68,6,128,66,584
ejb,378,225,2,48,37,691
lc,407,80,44,25,47,602
pj,310,61,13,52,21,457
pt,315,149,21,78,21,585
pc,473,83,91,66,117,830
hn,387,110,5,29,40,570
hs,565,14,14,74,20,687
