"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",연령별(2),2018,2019,2020,2021,2022,2023,2024,2025,2026
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","0 - 4세",0세,112777,113006,113249,113566,114126,114907,115847,116811,117652
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","0 - 4세",1세,112525,114281,114436,114502,114788,115316,116079,116988,117927
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","0 - 4세",2세,116500,113907,115586,115499,115538,115792,116302,117045,117931
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","0 - 4세",3세,121718,117600,114907,116367,116239,116254,116483,116974,117696
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","0 - 4세",4세,120260,122492,118293,115383,116807,116642,116644,116849,117322
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","5 - 9세",5세,129167,120718,122922,118519,115560,116958,116766,116748,116936
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","5 - 9세",6세,130418,129495,120983,123014,118560,115562,116938,116721,116690
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","계","5 - 9세",7세,133341,130678,129694,120976,123004,118503,115477,116835,116588
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","0 - 4세",0세,57711,57834,57960,58117,58403,58804,59286,59778,60211
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","0 - 4세",1세,57692,58492,58575,58606,58747,59018,59407,59873,60355
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","0 - 4세",2세,59588,58400,59162,59118,59134,59257,59520,59899,60352
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","0 - 4세",3세,62445,60156,58920,59567,59505,59508,59617,59872,60239
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","0 - 4세",4세,61428,62851,60517,59169,59797,59722,59719,59814,60060
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","5 - 9세",5세,66284,61664,63077,60634,59265,59882,59796,59778,59865
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","5 - 9세",6세,66931,66433,61780,63117,60643,59258,59862,59765,59742
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","남자","5 - 9세",7세,68285,67049,66509,61760,63094,60594,59198,59790,59682
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","0 - 4세",0세,55066,55172,55289,55449,55723,56103,56561,57033,57441
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","0 - 4세",1세,54833,55789,55861,55896,56041,56298,56672,57115,57572
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","0 - 4세",2세,56912,55507,56424,56381,56404,56535,56782,57146,57579
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","0 - 4세",3세,59273,57444,55987,56800,56734,56746,56866,57102,57457
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","0 - 4세",4세,58832,59641,57776,56214,57010,56920,56925,57035,57262
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","5 - 9세",5세,62883,59054,59845,57885,56295,57076,56970,56970,57071
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","5 - 9세",6세,63487,63062,59203,59897,57917,56304,57076,56956,56948
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","경기도","여자","5 - 9세",7세,65056,63629,63185,59216,59910,57909,56279,57045,56906
