지역(영),아동수,어린이집수,어린이집정원수,지역(한)
yc,2543,34,1364,연천군
gpn,2812,38,1885,가평군
kc,2927,48,2972,과천시
yp,5534,59,3340,양평군
yjn,6037,75,3829,여주시
ddc,5568,122,4490,동두천시
pc,7554,130,6457,포천시
ew,9490,143,5708,의왕시
gl,11580,168,5713,구리시
lc,15162,174,10420,이천시
hn,17762,199,7765,하남시
ahns,11608,230,9461,안성시
os,18532,253,9076,오산시
yjn,13748,267,10833,양주시
kp,18790,275,9138,군포시
km,21183,372,11805,광명시
kj,24849,373,18994,광주시
ggp,32808,394,14224,김포시
sh,26320,402,16419,시흥시
pt,32997,414,17849,평택시
ejb,24803,467,16450,의정부시
pj,32408,484,17659,파주시
yi,73361,514,20406,용인시
ay,34160,515,18392,안양시
bc,48478,604,23211,부천시
as,38556,620,24818,안산시
nyj,46499,676,27753,남양주시
sn,56556,719,27081,성남시
gy,61397,921,33378,고양시
sw,80644,1163,39621,수원시
hs,64483,1518,57092,화성시
